Well Name,API Number,Latitude (NAD27),Longitude (NAD27),Source Title,Reported Date,Company,Category,Parameter,Value,Unit,Actual/Forecast,Period,Basin/Region,Play/Formation,Sub-Location,Parameter Detail,Data Point Description,View URL
Fletch C 1352WA,4222739063,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,282",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Fletch C 1352WA well,"Lateral length of Fletch C 1352WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,282 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269487
Fletch C 1368WB,4222739067,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,287",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin",Fletch C 1368WB well,"Lateral length of Fletch C 1368WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,287 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269488
Fletch B 1351WA,4222739073,32.212895,-101.477448,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,113",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Fletch B 1351WA well,"Lateral length of Fletch B 1351WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,113 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269489
Fletch A 1350WA,4222739072,32.212608,-101.478764,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"9,636",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Fletch A 1350WA well,"Lateral length of Fletch A 1350WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 9,636 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269490
Sundown 4566WB,4222739082,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,336",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin",Sundown 4566WB well,"Lateral length of Sundown 4566WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,336 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269491
Iceman 2-10A 1LS,4222738884,32.3198582,-101.5418308,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"7,830",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Iceman 2-10A 1LS well,"Lateral length of Iceman 2-10A 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 7,830 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269492
Iceman 2-10A 2LS,4222738885,32.3201692,-101.5405219,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"7,828",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Iceman 2-10A 2LS well,"Lateral length of Iceman 2-10A 2LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 7,828 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269493
Iceman 2-10A 3LS,4222738886,32.3204812,-101.5392129,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"7,819",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Iceman 2-10A 3LS well,"Lateral length of Iceman 2-10A 3LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 7,819 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269494
Papagiorgio 33-40 B 1LS,4222738855,32.263816,-101.4541119,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,370",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Papagiorgio 33-40 B 1LS well,"Lateral length of Papagiorgio 33-40 B 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,370 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269495
Maverick 0321LS,4222739007,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,419",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Maverick 0321LS well,"Lateral length of Maverick 0321LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,419 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269497
Maverick 0322LS,4222739008,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,418",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Maverick 0322LS well,"Lateral length of Maverick 0322LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,418 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269498
Sundown 4524LS,4222739081,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,352",Feet,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Sundown 4524LS well,"Lateral length of Sundown 4524LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,352 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269499
Maverick 0341WA,4222739005,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"2,316",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Maverick 0341WA well, all","IP Rate (24 hr peak) of Maverick 0341WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 2,316 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269516
Maverick 0361WB,4222739009,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,683",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin","Maverick 0361WB well, all","IP Rate (24 hr peak) of Maverick 0361WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,683 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269517
Maverick 0342WA,4222739006,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"2,242",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Maverick 0342WA well, all","IP Rate (24 hr peak) of Maverick 0342WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 2,242 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269518
Fletch C 1352WA,4222739063,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"2,053",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Fletch C 1352WA well, all","IP Rate (24 hr peak) of Fletch C 1352WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 2,053 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269519
Fletch C 1368WB,4222739067,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,700",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin","Fletch C 1368WB well, all","IP Rate (24 hr peak) of Fletch C 1368WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,700 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269520
Fletch B 1351WA,4222739073,32.212895,-101.477448,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,967",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Fletch B 1351WA well, all","IP Rate (24 hr peak) of Fletch B 1351WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,967 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269521
Fletch A 1350WA,4222739072,32.212608,-101.478764,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"2,127",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Fletch A 1350WA well, all","IP Rate (24 hr peak) of Fletch A 1350WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 2,127 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269522
Sundown 4566WB,4222739082,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,435",BOE/d,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin","Sundown 4566WB well, all","IP Rate (24 hr peak) of Sundown 4566WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,435 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269523
Iceman 2-10A 1LS,4222738884,32.3198582,-101.5418308,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),739,BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Iceman 2-10A 1LS well, all","IP Rate (24 hr peak) of Iceman 2-10A 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 739 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269524
Iceman 2-10A 2LS,4222738885,32.3201692,-101.5405219,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,063",BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Iceman 2-10A 2LS well, all","IP Rate (24 hr peak) of Iceman 2-10A 2LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,063 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269525
Iceman 2-10A 3LS,4222738886,32.3204812,-101.5392129,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),916,BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Iceman 2-10A 3LS well, all","IP Rate (24 hr peak) of Iceman 2-10A 3LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 916 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269526
Papagiorgio 33-40 B 1LS,4222738855,32.263816,-101.4541119,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,006",BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Papagiorgio 33-40 B 1LS well, all","IP Rate (24 hr peak) of Papagiorgio 33-40 B 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,006 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269527
Maverick 0321LS,4222739007,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,194",BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Maverick 0321LS well, all","IP Rate (24 hr peak) of Maverick 0321LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,194 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269529
Maverick 0322LS,4222739008,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),"1,221",BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Maverick 0322LS well, all","IP Rate (24 hr peak) of Maverick 0322LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,221 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269530
Sundown 4524LS,4222739081,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Results,IP Rate (24 hr peak),959,BOE/d,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Sundown 4524LS well, all","IP Rate (24 hr peak) of Sundown 4524LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 959 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269531
Maverick 0341WA,4222739005,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Maverick 0341WA well,"Frac stages of Maverick 0341WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269532
Maverick 0361WB,4222739009,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin",Maverick 0361WB well,"Frac stages of Maverick 0361WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269533
Maverick 0342WA,4222739006,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Maverick 0342WA well,"Frac stages of Maverick 0342WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269534
Fletch C 1352WA,4222739063,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Fletch C 1352WA well,"Frac stages of Fletch C 1352WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269535
Fletch C 1368WB,4222739067,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin",Fletch C 1368WB well,"Frac stages of Fletch C 1368WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269536
Fletch B 1351WA,4222739073,32.212895,-101.477448,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,61,,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Fletch B 1351WA well,"Frac stages of Fletch B 1351WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 61",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269537
Fletch A 1350WA,4222739072,32.212608,-101.478764,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,58,,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Fletch A 1350WA well,"Frac stages of Fletch A 1350WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 58",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269538
Sundown 4566WB,4222739082,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,83,,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin",Sundown 4566WB well,"Frac stages of Sundown 4566WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 83",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269539
Iceman 2-10A 1LS,4222738884,32.3198582,-101.5418308,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,47,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Iceman 2-10A 1LS well,"Frac stages of Iceman 2-10A 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 47",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269540
Iceman 2-10A 2LS,4222738885,32.3201692,-101.5405219,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,47,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Iceman 2-10A 2LS well,"Frac stages of Iceman 2-10A 2LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 47",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269541
Iceman 2-10A 3LS,4222738886,32.3204812,-101.5392129,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,47,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Iceman 2-10A 3LS well,"Frac stages of Iceman 2-10A 3LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 47",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269542
Papagiorgio 33-40 B 1LS,4222738855,32.263816,-101.4541119,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Papagiorgio 33-40 B 1LS well,"Frac stages of Papagiorgio 33-40 B 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269543
Maverick 0321LS,4222739007,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Maverick 0321LS well,"Frac stages of Maverick 0321LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269545
Maverick 0322LS,4222739008,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,62,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Maverick 0322LS well,"Frac stages of Maverick 0322LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 62",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269546
Sundown 4524LS,4222739081,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Frac Stages,83,,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin",Sundown 4524LS well,"Frac stages of Sundown 4524LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 83",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269547
Maverick 0341WA,4222739005,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"2,482",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Maverick 0341WA well, per foot, for 10,418 feet lateral length","Proppant per foot of Maverick 0341WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 2,482 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269548
Maverick 0361WB,4222739009,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,850",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin","Maverick 0361WB well, per foot, for 10,418 feet lateral length","Proppant per foot of Maverick 0361WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,850 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269549
Maverick 0342WA,4222739006,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,849",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Maverick 0342WA well, per foot, for 10,418 feet lateral length","Proppant per foot of Maverick 0342WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,849 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269550
Fletch C 1352WA,4222739063,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,851",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Fletch C 1352WA well, per foot, for 10,287 feet lateral length","Proppant per foot of Fletch C 1352WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,851 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269551
Fletch C 1368WB,4222739067,32.213181,-101.476133,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,891",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin","Fletch C 1368WB well, per foot, for 10,287 feet lateral length","Proppant per foot of Fletch C 1368WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,891 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269552
Fletch B 1351WA,4222739073,32.212895,-101.477448,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,888",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Fletch B 1351WA well, per foot, for 10,113 feet lateral length","Proppant per foot of Fletch B 1351WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,888 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269553
Fletch A 1350WA,4222739072,32.212608,-101.478764,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,870",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin","Fletch A 1350WA well, per foot, for 9,636 feet lateral length","Proppant per foot of Fletch A 1350WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,870 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269554
Sundown 4566WB,4222739082,32.512526,-101.415829,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,966",lbs/ft,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin","Sundown 4566WB well, per foot, for 10,336 feet lateral length","Proppant per foot of Sundown 4566WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,966 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269555
Iceman 2-10A 1LS,4222738884,32.3198582,-101.5418308,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,827",lbs/ft,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Iceman 2-10A 1LS well, per foot, for 7,830 feet lateral length","Proppant per foot of Iceman 2-10A 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,827 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269556
Iceman 2-10A 2LS,4222738885,32.3201692,-101.5405219,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,865",lbs/ft,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Iceman 2-10A 2LS well, per foot, for 7,828 feet lateral length","Proppant per foot of Iceman 2-10A 2LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,865 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269557
Iceman 2-10A 3LS,4222738886,32.3204812,-101.5392129,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,870",lbs/ft,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Iceman 2-10A 3LS well, per foot, for 7,819 feet lateral length","Proppant per foot of Iceman 2-10A 3LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,870 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269558
Papagiorgio 33-40 B 1LS,4222738855,32.263816,-101.4541119,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,853",lbs/ft,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Papagiorgio 33-40 B 1LS well, per foot, for 10,370 feet lateral length","Proppant per foot of Papagiorgio 33-40 B 1LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,853 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269559
Maverick 0321LS,4222739007,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Proppant Volume,"1,849",lbs/ft,Actual,,Permian,Spraberry,"Lower Spraberry, Howard County, Texas, Midland Basin","Maverick 0321LS well, per foot, for 10,419 feet lateral length","Proppant per foot of Maverick 0321LS well in Lower Spraberry, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 1,849 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269561
